$id,event,postEvent,effect:CHR,effect:INT,effect:STR,effect:MNY,effect:SPR,effect:LIF,effect:AGE,NoRandom,include,exclude,branch[],branch[],branch[]
序号,事件内容,追加事件内容,"颜值
变化","智力
变化","体质
变化","家境
变化","快乐
变化","生命
变化",年龄变化,非随机事件,"有某事件时
才能被随机到","有某事件时
一定随机不到",优先分支,次优先分支,分支
10000,你死了。,,,,,,,-1,,1,,,,,
10001,你出生了，是个男孩。,,,,,,,,,,,"TLT?[1004,1024,1025,1113]",,,
10002,你出生了，是个女孩。,,,,,,,,,,,"TLT?[1003,1024,1025]",,,
10003,你生了场重病。,家里花了不少钱。,,,,-1,-1,,,,,STR>6,TLT?[1001]:10004,,STR<2&MNY<3:10000
10004,可能是玉佩保佑，你活了下来。,,,,,,,,,1,,,,,
10005,刚学会走路，你意外从桌子上跌落。,受了轻伤。,,,,,,,,,,INT>7,TLT?[1002]:10006,,STR<3&MNY<3:10000
10006,红肚兜挂在了桌角上，你没有受伤。,,,,,,,,,1,,,,,
10007,你开始看动漫。,,,,,,1,,,,TLT?[1005],"(MNY<3)|(EVT?[10007,10008])",INT>5:20008,,CHR>5:20007
10008,你开始看动漫。,,,,,,1,,,,,"(MNY<3)|(EVT?[10007,10008])",INT>5:20008,,CHR>5:20007
20007,你喜欢看画面人设好看的动漫。,,,,,,,,,1,,,,,
20008,你喜欢看剧情棒的动漫。,,,,,,,,,1,,,,,
10009,你从小生活在农村,,,,,,,,,,(MNY<8)|(TLT?[1012]),"TLT?[1010,1013,1014]",,,
10010,你从小生活在城市,,,,,,,,,,"(MNY>1)|(TLT?[1010,1013])","TLT?[1012,1014]",,,
10011,你出生在美利坚，拥有美国国籍,,,,,,,,,,(MNY>8)|(TLT?[1014]),"TLT?[1010,1012]",,,
10012,你父母又生了个女儿。,,,,,-1,,,,,EVT?[10009],"(EVT?[10001,10125,10126,10014,10016,10017])|(TLT?[1011])",,,MNY<2:10013
10013,你的家庭更加困难，吃不饱饭。,,,,,,,,,1,,,,,MNY<1:10000
10014,你父母又生了个儿子。,,,,,-1,,,,,EVT?[10009],"(EVT?[10001,10014,10125,10126,10016,10017])|(TLT?[1011])",,,MNY<2:10013
10015,你父母并没有精心照顾你。,,,,-1,,-1,,,,,"(EVT?[10015,10011,10019])|(TLT?[1015])",,,
10016,你的母亲因病去世。,家庭更加困难了。,,,,-1,-1,,,,(EVT?[10009])&(STR<3)&(SPR<3)&(MNY<3),"(EVT?[10016,10125,10126])|(TLT?[1029])",EVT?[10017]:10000,,
10017,你的父亲因病去世。,家庭更加困难了。,,,,-2,-1,,,,(EVT?[10009])&(STR<3)&(SPR<3)&(MNY<3),"(EVT?[10017,10125,10126])|(TLT?[1029])",EVT?[10016]:10000,,
10018,你的父亲在种地时意外发现一箱金条。,家境有所好转。,,,,2,1,,,,EVT?[10009],"EVT?[10018,10017]",,,
10019,你的父母对你视若珍宝，呵护备至。,,,,1,,1,,,,,"EVT?[10015,10016,10017,10019]",,,
10020,你天资聪颖，但家人并不懂如何培养。,,,-1,,,,,,,(EVT?[10009])&(INT>7),"EVT?[10021,10020]",,,
10021,你天资聪颖，家人很关注你的学习。,,,1,,,,,,,(EVT?[10009])&(INT>7)&(MNY>3),"EVT?[10020,10021]",,,
10022,你什么事都要让着妹妹。,不开心。,,,,,-1,,,,EVT?[10012],"(EVT?[10022,10014])|(TLT?[1015])",,,
10023,你什么事都要让着弟弟。,不开心。,,,,,-1,,,,EVT?[10014],(EVT?[10023])|(TLT?[1015]),,,
10024,家人到城里务工。,你在农村留守。,,,,,-1,,,,EVT?[10009],"EVT?[10016,10017,10024]",TLT?[1015]:10025,,
10025,你和父母一同进了城。,,,,,,1,,,1,,,,,
10026,你比其他小朋友长得更可爱。,,,,,,,,,,CHR>7,"EVT?[10026,10030]",,,
10027,你的母亲救了个人，得到了很多感谢金。,家境有所好转。,,,,2,1,,,,EVT?[10009],"EVT?[10027,10016]",,,
10028,你很调皮，喜欢在家到处乱跑。,,,,1,,1,,,,(STR>3)&(EVT?[10009]),"EVT?[10028,10052]",CHR>7:20029,,STR<5:20028
20028,有次你不小心摔倒撞到了脑袋，智力略微受损。,,,-1,,,,,,1,,,,,
20029,看在你长得可爱的份上家人不和你计较。,,,,,,,,,1,,,,,
10029,家人从小就培养你做家务。,,,,1,,,,,,EVT?[10009],(EVT?[10029])|(TLT?[1015]),,,
10030,你的脸意外被开水烫伤。,毁容了。,-3,,,,-2,,,,(CHR>3)&(EVT?[10015]),EVT?[10030],,,SPR<2:10062
10031,你被邻居叔叔绑架了。,没勒索到钱，你被放了。,,,,,-1,,,,(CHR>4)&(MNY>4)&(EVT?[10009]),EVT?[10031],"EVT?[10018,10027,10078]:10032",,"(CHR>7)&(EVT?[10002,10111]):10033"
10032,叔叔向你父母勒索了很多现金。,你被放了回家。,,,,-2,,,,1,,,,,
10033,叔叔侵犯了你。,你被放了回家。,,,,,-2,,,1,,,,,STR<3:10000
10034,你和邻家小孩被定了娃娃亲。,,,,,,,,,,(CHR>3)&(EVT?[10009]),"EVT?[10034,10024]",,,
10035,你的大姐出嫁，收了很多彩礼。,,,,,1,,,,,EVT?[10009],(EVT?[10035])|(TLT?[1011]),CHR>7:20035,,
20035,你大姐偷偷告诉你，她一点也不喜欢男方。,,,,,,,,,1,,,,,
20036,你的大姐自杀了。,,,,,,-1,,,,EVT?[20035],EVT?[20036],,,
10036,你喜欢用父母的手机玩王者荣耀。,,,,,,1,,,,MNY>2,"EVT?[10011,10024,10016,10017,10036,10037,10038]",INT>8:20037,,INT>5:20038
20037,你轻松打上了王者。,,,,,,1,,,1,,,,,
20038,你打上了黄金段位。,,,,,,,,,1,,,,,
10037,你喜欢用父母的手机刷抖音。,,,,,,1,,,,MNY>2,"EVT?[10011,10024,10016,10017,10036,10037,10038]",,,
